path	role	source	license	sha256
data/example_tree.rda	built-in example tree (50 tips)	authored (data-raw/make_example_tree.R)	MIT (package)	15ddcd8ea26798d45a0a4c7fc76805331d1e57a81f950b56b25ec7478e8c36b9
data/polytomy_tree.rda	built-in polytomy test tree	authored (data-raw/make_polytomy_tree.R)	MIT (package)	950488a3f224b40be42767e9b56f89eea5b4579cb6083033ebfdb0429255974e
inst/extdata/moody2025_gbm_laca_timetree.nwk	Moody et al. 2025 700-tip timetree (author-reformatted labels; topology unchanged)	Moody et al. 2025 (CC BY 4.0)	CC BY 4.0	6cfe92c28b8533c8177c748f14fddb1173325118c39afb5f2e50b3536ef9df8f
benchmark_results/benchmark_synthetic_rendered.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	00dcc0506ec74eb7df9749c0bbe8f90119505fb01c1c85ff82b2955efa61abf9
benchmark_results/process_level_metrics.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	9c8c3f793e20dc9361da9c3307e8f33d75a5028de89e7b9b399de6dd1205c445
benchmark_results/ar53_benchmark.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	81d91a192380cae8789a56b8c94de6bda5a4b309d000ab22782c0f77d63bf86b
benchmark_results/ar53_process_metrics.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	7ccf3a65bd2c5547e0041819b7054efe769aad8939efa7f30bba90048a7fc50e
benchmark_results/taxonomy_accuracy_example_tree.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	cea43db3962660079c6db503d8e526ee336a5f7a4527b5ef643ae34221afe9a7
benchmark_results/straightness_deviation.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	15ecbb5a11182c5e2eb41297ad07f3263a0140ea6b6bb9714207192d18ac2aae
benchmark_results/straightness_deviation_extended.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	2a03b606dab3d953675599c31d793b3d981e10e47e99e9f998604727b574ef13
benchmark_results/sessionInfo.txt	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	4ff5996d765680ef4a95e1f038730e4f1d31933644979f9e2ca5c1004ddba334
benchmark_results/ncbi_rank_shift_example.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	353f886f1bb1ee520170e85aef55c57bad0527e720d6f75cbb60418a2b7ced0b
benchmark_results/benchmark_split_cost_1000.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	5a95b6d45a8adde60a24834bdfb8f3e2b973478c22936be43bacc8f6bb849b2d
benchmark_results/embedded_evaluation_moody700.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	74c5ed05142051891622ee7616498582844e89a3e113f85e007820d7c8edd498
benchmark_results/gbm_phylum_color_mapping.csv	benchmark/evaluation result (v1.1.0 rerun)	generated by archived script	MIT (package)	279067ace846fe91bb3ab6012efc82c0f0272e221d2386c8f74e0789268fc12d
evaluation/parsing_accuracy_real_data.csv	GTDB R232 parsing accuracy	generated by evaluation/verify_gtdb_parsing_accuracy.R	MIT (package)	69d98619b48b8205c95d27355abc357df189d1810601fe17dc47edbce6abe7f5
scripts/benchmark_synthetic.R	reproduction script/doc	authored	MIT (package)	363044a466ca283e9ffc1976ea7ac29beeaf5ff0b16f98363b2d9c1d0762f068
scripts/benchmark_synthetic_once.R	reproduction script/doc	authored	MIT (package)	adbdbbc7d64aa78903b4a8d2b8d33b595f613f258280208cb81fcf6e78b5b760
scripts/benchmark_real_timing.R	reproduction script/doc	authored	MIT (package)	b2fb427247ef632fab54940e51adb5eb33f3326a30a40dd088ae8f77aca0eb90
scripts/benchmark_real_once.R	reproduction script/doc	authored	MIT (package)	60565cfae6653cb8aa883bfbe307ea73ef007add085a7c7982378348618adaa9
scripts/run_process_level.sh	reproduction script/doc	authored	MIT (package)	02f53a15f04bbe23e45ee0599f43a01104c3fe35e9a606315932b0dbe226a587
scripts/verify_taxonomy_accuracy.R	reproduction script/doc	authored	MIT (package)	8ebc044711bfedecdfde0c4169f6126670dcb9bc9d88dfc9d8bebd3998209852
scripts/measure_straightness.R	reproduction script/doc	authored	MIT (package)	5338e162d85e84db18023db4fcf3a71a7928c674a33f9303433f66a79ff7ba65
scripts/measure_straightness_extended.R	reproduction script/doc	authored	MIT (package)	70b699738892ed6deb5aa5834c55f603dd22386c20470982dfcadd41e2a89993
evaluation/verify_gtdb_parsing_accuracy.R	reproduction script/doc	authored	MIT (package)	4d489ee16c31f69edd4d0387353dc944a06c64567452f2c7a4957fdf39833282
REPRODUCIBILITY.md	reproduction script/doc	authored	MIT (package)	cbdd33e5bf2c5987b0343beca9143ad2736d21fba0734edbe518b3e8b63dc10d
